"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Victor Oladipo_IND",NA,NA,43.75,NA,65.75,NA,33.75,NA,45.5,NA,36.75,NA,NA,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA,51.25,NA,32,NA
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75,31.25,NA,46.25,23.75,NA,29.25,NA,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75,44.75,NA,50.5,NA,0,NA,33.75,NA
"Hassan Whiteside_MIA",NA,35.5,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA
"D'Angelo Russell_BKN",NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA,42,29.75,NA,NA,43,NA,50.25,NA,NA
"Myles Turner_IND",NA,NA,36.5,NA,28.5,NA,22.25,NA,35.25,NA,24,NA,NA,NA
"Kent Bazemore_ATL",NA,NA,NA,23,NA,22,21.25,NA,23,47,NA,26.25,NA,NA
"Taurean Prince_ATL",NA,NA,NA,20.5,NA,24,19,NA,29.5,41.75,NA,14.5,NA,NA
"Thaddeus Young_IND",NA,NA,30.5,NA,26.75,NA,33,NA,28.75,NA,46,NA,NA,NA
"James Johnson_MIA",NA,25.75,17.5,NA,24,NA,NA,NA,20.75,NA,34.5,NA,7.75,NA
"Dion Waiters_MIA",NA,32.25,27.25,NA,26.75,NA,NA,NA,33.75,NA,24.5,NA,28,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48,34.75,NA,28.75,NA,34.25
"Goran Dragic_MIA",NA,17.5,13,NA,17,NA,NA,NA,22.5,NA,22.25,NA,19.5,NA
"Rondae Hollis-Jefferson_BKN",NA,NA,0,NA,NA,18,37.5,NA,NA,36,NA,48.25,NA,NA
"Josh Richardson_MIA",NA,23,26.25,NA,35.5,NA,NA,NA,25,NA,19,NA,44.75,NA
"Darren Collison_IND",NA,NA,21.5,NA,34.75,NA,41.5,NA,18.75,NA,24.75,NA,NA,NA
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA,33.5,26,NA,34,NA,25,NA,40.75,NA
"Caris LeVert_BKN",NA,NA,31,NA,NA,15.25,33.5,NA,NA,31.25,NA,34.25,NA,NA
"Domantas Sabonis_IND",NA,NA,14.25,NA,17,NA,29,NA,13.25,NA,15.5,NA,NA,NA
"Kelly Olynyk_MIA",NA,8.75,28.75,NA,23,NA,NA,NA,28.5,NA,20,NA,33.25,NA
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA,27,19.25,NA,0,NA,39.75,NA,21.25,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA,0,23.5,NA,17.25,NA,21.5
"John Collins_ATL",NA,NA,NA,27.75,NA,0,0,NA,0,0,NA,29.25,NA,NA
"Dewayne Dedmon_ATL",NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA,24.25,15.5,NA,26.75,14.5,NA,28.75,NA,NA
"Marcus Smart_BOS",NA,NA,NA,19,NA,31.5,24,NA,7.25,NA,26.25,NA,22,NA
"Tyler Johnson_MIA",NA,6.25,24.25,NA,16,NA,NA,NA,35.75,NA,0,NA,13.5,NA
"DeMarre Carroll_BKN",NA,NA,33.25,NA,NA,28.5,29,NA,NA,29,NA,25.25,NA,NA
"George Hill_SAC",21.5,7.5,NA,NA,22.75,8.5,NA,NA,27.25,36.75,NA,24,NA,0
