"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA,24.5,42.25,NA,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA,51.25,NA
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA,34.5,NA,32,NA
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA,0,26.5,NA,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA,22.25,NA,0,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75,44.75,NA,50.5,NA,0,NA
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5,40.5,NA,32.25,30.5,NA,29.25
"Mike Conley_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA,36.5,NA,35.25,35.75,NA,NA
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA,33.5,26,NA,34,NA,25,NA
"JJ Barea_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA,27,19.25,NA,0,NA,39.75,NA
"Pau Gasol_SA",NA,NA,19,NA,25.5,NA,38.5,NA,24.25,13.75,NA,NA
"Kyle Anderson_SA",NA,NA,25.5,NA,12,NA,0,NA,0,0,NA,NA
"Marcus Smart_BOS",NA,NA,NA,19,NA,31.5,24,NA,7.25,NA,26.25,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA,29.75,11.75,NA,NA
"Dennis Smith_DAL",NA,NA,16,NA,NA,24.25,30.25,NA,25,0,NA,0
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA,15.5,22,NA,23.75,32,NA,18.75
"Wesley Matthews_DAL",NA,NA,15.25,NA,NA,20,22.75,NA,11.25,28.75,NA,13.5
